@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,0.2915442247021929
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0017574413268448552
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0017574413268448552
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0017574413268448552
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0017574413268448552
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.29253999217417004
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.29253999217417004
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0017574413268448552
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.3:48406,192.168.10.2:9200,1,2.1615455100964027
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.29253999217417004
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.29253999217417004
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,0.29253999217417004
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
