@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48412,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48414,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48416,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48418,0,-0.01375710555772236
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48420,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48422,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48424,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.884",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48426,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.012957496656503753
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.012957496656503753
